,participantId,condition,phase,trial,estimate,questionId,label,area,distance,age,socialInfo,rentTruth,manipulationCheck,residentialExperience,gender,participantAge
277,ldjyh0qtgsgkez6,expert,3,2,8.9,12,さくらヒルズレジデンス,15.9,9,7,12.2,12.4,6,3,female,22
278,ldjyh0qtgsgkez6,expert,3,3,10.3,21,あじさいテラス,15.8,7,8,12.2,14.5,6,3,female,22
279,ldjyh0qtgsgkez6,expert,3,4,8.3,17,ソレイユ豊川,12.5,8,41,7.5,8.3,6,3,female,22
280,ldjyh0qtgsgkez6,expert,3,5,7.9,5,コーポ内藤,10.5,6,37,7.2,7.0,6,3,female,22
281,ldjyh0qtgsgkez6,expert,3,6,7.4,0,ウッドランド中西,7.3,5,18,7.5,5.9,6,3,female,22
282,ldjyh0qtgsgkez6,expert,3,7,8.5,9,ジャスミンガーデンズ東大前,15.8,4,24,10.7,8.7,6,3,female,22
283,ldjyh0qtgsgkez6,expert,3,8,10.0,15,ライフホームVIBRANT,15.1,5,19,10.8,12.0,6,3,female,22
284,ldjyh0qtgsgkez6,expert,3,9,10.7,22,リバーサイド黒田,12.6,4,22,9.4,9.4,6,3,female,22
285,ldjyh0qtgsgkez6,expert,3,10,11.0,7,ライフヴィラ白山,13.3,7,11,10.7,9.1,6,3,female,22
286,ldjyh0qtgsgkez6,expert,3,11,9.6,4,レインボーハウスRaffine,13.0,5,33,8.5,7.5,6,3,female,22
287,ldjyh0qtgsgkez6,expert,3,12,8.0,8,アーバンネット三丁目,19.0,7,36,10.9,11.8,6,3,female,22
288,ldjyh0qtgsgkez6,expert,3,13,7.1,11,サンセットプレイス犬飼,10.9,5,35,7.5,6.8,6,3,female,22
289,ldjyh0qtgsgkez6,expert,3,14,8.2,10,センチュリーMINERVA,13.0,4,48,7.3,11.1,6,3,female,22
290,ldjyh0qtgsgkez6,expert,3,15,14.0,14,グランポルテWILL,18.5,2,4,14.3,13.8,6,3,female,22
291,ldjyh0qtgsgkez6,expert,3,16,12.4,13,ふたばハイツ,13.4,5,13,10.6,9.6,6,3,female,22
292,ldjyh0qtgsgkez6,expert,3,17,7.8,23,はまなすレイクビュー,12.3,6,52,6.7,6.9,6,3,female,22
293,ldjyh0qtgsgkez6,expert,3,18,11.4,2,レジデンス三葉,21.3,5,19,13.9,14.5,6,3,female,22
294,ldjyh0qtgsgkez6,expert,3,19,10.8,20,ファイブスター後楽園,14.7,8,19,10.5,10.1,6,3,female,22
295,ldjyh0qtgsgkez6,expert,3,20,9.9,6,グリーンリッジ本郷,23.3,1,60,10.8,11.7,6,3,female,22
296,ldjyh0qtgsgkez6,expert,3,21,10.1,16,ハイランド竹澤,16.1,2,22,11.2,11.1,6,3,female,22
297,ldjyh0qtgsgkez6,expert,3,22,7.7,1,つばき荘,8.7,2,44,6.2,6.0,6,3,female,22
298,ldjyh0qtgsgkez6,expert,3,23,8.9,3,ハートフル文京,18.4,4,46,9.8,8.5,6,3,female,22
299,ldjyh0qtgsgkez6,expert,3,24,10.4,19,カーサ・ヴィラJulio,12.5,2,23,9.4,10.1,6,3,female,22
300,5e4rju6o4b8th3w,expert,1,1,15.0,14,センチュリーMINERVA,18.5,2,4,14.3,13.8,5,3,female,20
301,5e4rju6o4b8th3w,expert,1,2,12.0,18,プリンスハイムSOLEIL,12.8,3,20,9.8,10.3,5,3,female,20
302,5e4rju6o4b8th3w,expert,1,3,10.0,8,コーポ内藤,19.0,7,36,10.9,11.8,5,3,female,20
303,5e4rju6o4b8th3w,expert,1,4,9.2,12,ハートフル文京,15.9,9,7,12.2,12.4,5,3,female,20
304,5e4rju6o4b8th3w,expert,1,5,11.3,7,はまなすレイクビュー,13.3,7,11,10.7,9.1,5,3,female,20
305,5e4rju6o4b8th3w,expert,1,6,8.8,5,グリーンリッジ本郷,10.5,6,37,7.2,7.0,5,3,female,20
306,5e4rju6o4b8th3w,expert,1,7,7.6,6,レジデンス三葉,23.3,1,60,10.8,11.7,5,3,female,20
307,5e4rju6o4b8th3w,expert,1,8,8.0,3,ライフホームVIBRANT,18.4,4,46,9.8,8.5,5,3,female,20
308,5e4rju6o4b8th3w,expert,1,9,8.7,4,ライフヴィラ白山,13.0,5,33,8.5,7.5,5,3,female,20
309,5e4rju6o4b8th3w,expert,1,10,9.3,13,ファイブスター後楽園,13.4,5,13,10.6,9.6,5,3,female,20
310,5e4rju6o4b8th3w,expert,1,11,8.5,21,ウッドランド中西,15.8,7,8,12.2,14.5,5,3,female,20
311,5e4rju6o4b8th3w,expert,1,12,8.3,19,あじさいテラス,12.5,2,23,9.4,10.1,5,3,female,20
312,5e4rju6o4b8th3w,expert,1,13,7.9,11,アーバンネット三丁目,10.9,5,35,7.5,6.8,5,3,female,20
313,5e4rju6o4b8th3w,expert,1,14,9.2,2,ソレイユ豊川,21.3,5,19,13.9,14.5,5,3,female,20
314,5e4rju6o4b8th3w,expert,1,15,8.5,10,リバーサイド黒田,13.0,4,48,7.3,11.1,5,3,female,20
315,5e4rju6o4b8th3w,expert,1,16,8.6,20,カーサ・ヴィラJulio,14.7,8,19,10.5,10.1,5,3,female,20
316,5e4rju6o4b8th3w,expert,1,17,8.2,17,レインボーハウスRaffine,12.5,8,41,7.5,8.3,5,3,female,20
317,5e4rju6o4b8th3w,expert,1,18,7.0,23,グランポルテWILL,12.3,6,52,6.7,6.9,5,3,female,20
318,5e4rju6o4b8th3w,expert,1,19,8.4,16,つばき荘,16.1,2,22,11.2,11.1,5,3,female,20
319,5e4rju6o4b8th3w,expert,1,20,8.8,15,ジャスミンガーデンズ東大前,15.1,5,19,10.8,12.0,5,3,female,20
320,5e4rju6o4b8th3w,expert,1,21,8.3,9,サンセットプレイス犬飼,15.8,4,24,10.7,8.7,5,3,female,20
321,5e4rju6o4b8th3w,expert,1,22,8.0,22,ふたばハイツ,12.6,4,22,9.4,9.4,5,3,female,20
322,5e4rju6o4b8th3w,expert,1,23,6.6,1,ハイランド竹澤,8.7,2,44,6.2,6.0,5,3,female,20
323,5e4rju6o4b8th3w,expert,1,24,7.0,0,さくらヒルズレジデンス,7.3,5,18,7.5,5.9,5,3,female,20
324,5e4rju6o4b8th3w,expert,2,1,8.2,13,ファイブスター後楽園,13.4,5,13,10.6,9.6,5,3,female,20
325,5e4rju6o4b8th3w,expert,2,2,10.3,22,ふたばハイツ,12.6,4,22,9.4,9.4,5,3,female,20
326,5e4rju6o4b8th3w,expert,2,3,10.2,9,サンセットプレイス犬飼,15.8,4,24,10.7,8.7,5,3,female,20
327,5e4rju6o4b8th3w,expert,2,4,11.1,12,ハートフル文京,15.9,9,7,12.2,12.4,5,3,female,20
328,5e4rju6o4b8th3w,expert,2,5,9.0,11,アーバンネット三丁目,10.9,5,35,7.5,6.8,5,3,female,20
329,5e4rju6o4b8th3w,expert,2,6,14.1,14,センチュリーMINERVA,18.5,2,4,14.3,13.8,5,3,female,20
330,5e4rju6o4b8th3w,expert,2,7,6.4,1,ハイランド竹澤,8.7,2,44,6.2,6.0,5,3,female,20
331,5e4rju6o4b8th3w,expert,2,8,8.3,4,ライフヴィラ白山,13.0,5,33,8.5,7.5,5,3,female,20
332,5e4rju6o4b8th3w,expert,2,9,10.0,7,はまなすレイクビュー,13.3,7,11,10.7,9.1,5,3,female,20
333,5e4rju6o4b8th3w,expert,2,10,8.5,2,ソレイユ豊川,21.3,5,19,13.9,14.5,5,3,female,20
334,5e4rju6o4b8th3w,expert,2,11,11.8,21,ウッドランド中西,15.8,7,8,12.2,14.5,5,3,female,20
335,5e4rju6o4b8th3w,expert,2,12,8.5,8,コーポ内藤,19.0,7,36,10.9,11.8,5,3,female,20
336,5e4rju6o4b8th3w,expert,3,1,10.2,4,ライフヴィラ白山,13.0,5,33,8.5,7.5,5,3,female,20
337,5e4rju6o4b8th3w,expert,3,2,9.3,20,カーサ・ヴィラJulio,14.7,8,19,10.5,10.1,5,3,female,20
338,5e4rju6o4b8th3w,expert,3,3,9.1,3,ライフホームVIBRANT,18.4,4,46,9.8,8.5,5,3,female,20
339,5e4rju6o4b8th3w,expert,3,4,12.3,2,ソレイユ豊川,21.3,5,19,13.9,14.5,5,3,female,20
340,5e4rju6o4b8th3w,expert,3,5,7.1,1,ハイランド竹澤,8.7,2,44,6.2,6.0,5,3,female,20
341,5e4rju6o4b8th3w,expert,3,6,7.7,0,さくらヒルズレジデンス,7.3,5,18,7.5,5.9,5,3,female,20
342,5e4rju6o4b8th3w,expert,3,7,8.1,23,グランポルテWILL,12.3,6,52,6.7,6.9,5,3,female,20
343,5e4rju6o4b8th3w,expert,3,8,9.1,5,グリーンリッジ本郷,10.5,6,37,7.2,7.0,5,3,female,20
344,5e4rju6o4b8th3w,expert,3,9,11.2,22,ふたばハイツ,12.6,4,22,9.4,9.4,5,3,female,20
345,5e4rju6o4b8th3w,expert,3,10,10.6,11,アーバンネット三丁目,10.9,5,35,7.5,6.8,5,3,female,20
346,5e4rju6o4b8th3w,expert,3,11,11.5,9,サンセットプレイス犬飼,15.8,4,24,10.7,8.7,5,3,female,20
347,5e4rju6o4b8th3w,expert,3,12,13.8,14,センチュリーMINERVA,18.5,2,4,14.3,13.8,5,3,female,20
348,5e4rju6o4b8th3w,expert,3,13,13.4,16,つばき荘,16.1,2,22,11.2,11.1,5,3,female,20
349,5e4rju6o4b8th3w,expert,3,14,12.4,21,ウッドランド中西,15.8,7,8,12.2,14.5,5,3,female,20
350,5e4rju6o4b8th3w,expert,3,15,11.7,15,ジャスミンガーデンズ東大前,15.1,5,19,10.8,12.0,5,3,female,20
351,5e4rju6o4b8th3w,expert,3,16,10.5,7,はまなすレイクビュー,13.3,7,11,10.7,9.1,5,3,female,20
352,5e4rju6o4b8th3w,expert,3,17,9.2,10,リバーサイド黒田,13.0,4,48,7.3,11.1,5,3,female,20
353,5e4rju6o4b8th3w,expert,3,18,9.7,18,プリンスハイムSOLEIL,12.8,3,20,9.8,10.3,5,3,female,20
354,5e4rju6o4b8th3w,expert,3,19,9.8,6,レジデンス三葉,23.3,1,60,10.8,11.7,5,3,female,20
355,5e4rju6o4b8th3w,expert,3,20,9.3,12,ハートフル文京,15.9,9,7,12.2,12.4,5,3,female,20
356,5e4rju6o4b8th3w,expert,3,21,9.1,19,あじさいテラス,12.5,2,23,9.4,10.1,5,3,female,20
357,5e4rju6o4b8th3w,expert,3,22,9.5,17,レインボーハウスRaffine,12.5,8,41,7.5,8.3,5,3,female,20
358,5e4rju6o4b8th3w,expert,3,23,10.0,13,ファイブスター後楽園,13.4,5,13,10.6,9.6,5,3,female,20
359,5e4rju6o4b8th3w,expert,3,24,10.6,8,コーポ内藤,19.0,7,36,10.9,11.8,5,3,female,20
360,o9dhcpwxgvwuka6,expert,1,1,8.6,19,センチュリーMINERVA,12.5,2,23,9.4,10.1,6,3,male,22
361,o9dhcpwxgvwuka6,expert,1,2,8.1,12,ソレイユ豊川,15.9,9,7,12.2,12.4,6,3,male,22
362,o9dhcpwxgvwuka6,expert,1,3,7.4,6,コーポ内藤,23.3,1,60,10.8,11.7,6,3,male,22
363,o9dhcpwxgvwuka6,expert,1,4,9.6,15,ファイブスター後楽園,15.1,5,19,10.8,12.0,6,3,male,22
364,o9dhcpwxgvwuka6,expert,1,5,5.3,17,あじさいテラス,12.5,8,41,7.5,8.3,6,3,male,22
365,o9dhcpwxgvwuka6,expert,1,6,5.9,5,ライフヴィラ白山,10.5,6,37,7.2,7.0,6,3,male,22
366,o9dhcpwxgvwuka6,expert,1,7,6.5,23,グリーンリッジ本郷,12.3,6,52,6.7,6.9,6,3,male,22
367,o9dhcpwxgvwuka6,expert,1,8,6.3,1,ライフホームVIBRANT,8.7,2,44,6.2,6.0,6,3,male,22
368,o9dhcpwxgvwuka6,expert,1,9,9.0,18,ウッドランド中西,12.8,3,20,9.8,10.3,6,3,male,22
369,o9dhcpwxgvwuka6,expert,1,10,10.2,2,プリンスハイムSOLEIL,21.3,5,19,13.9,14.5,6,3,male,22
370,o9dhcpwxgvwuka6,expert,1,11,8.1,7,ジャスミンガーデンズ東大前,13.3,7,11,10.7,9.1,6,3,male,22
371,o9dhcpwxgvwuka6,expert,1,12,8.4,22,つばき荘,12.6,4,22,9.4,9.4,6,3,male,22
372,o9dhcpwxgvwuka6,expert,1,13,7.9,3,ふたばハイツ,18.4,4,46,9.8,8.5,6,3,male,22
373,o9dhcpwxgvwuka6,expert,1,14,8.0,13,ハイランド竹澤,13.4,5,13,10.6,9.6,6,3,male,22
374,o9dhcpwxgvwuka6,expert,1,15,11.1,14,カーサ・ヴィラJulio,18.5,2,4,14.3,13.8,6,3,male,22
375,o9dhcpwxgvwuka6,expert,1,16,9.2,20,レインボーハウスRaffine,14.7,8,19,10.5,10.1,6,3,male,22
376,o9dhcpwxgvwuka6,expert,1,17,10.5,16,さくらヒルズレジデンス,16.1,2,22,11.2,11.1,6,3,male,22
377,o9dhcpwxgvwuka6,expert,1,18,8.0,11,はまなすレイクビュー,10.9,5,35,7.5,6.8,6,3,male,22
378,o9dhcpwxgvwuka6,expert,1,19,8.2,10,グランポルテWILL,13.0,4,48,7.3,11.1,6,3,male,22
379,o9dhcpwxgvwuka6,expert,1,20,11.4,21,サンセットプレイス犬飼,15.8,7,8,12.2,14.5,6,3,male,22
380,o9dhcpwxgvwuka6,expert,1,21,9.0,8,アーバンネット三丁目,19.0,7,36,10.9,11.8,6,3,male,22
381,o9dhcpwxgvwuka6,expert,1,22,8.9,9,ハートフル文京,15.8,4,24,10.7,8.7,6,3,male,22
382,o9dhcpwxgvwuka6,expert,1,23,8.3,4,レジデンス三葉,13.0,5,33,8.5,7.5,6,3,male,22
383,o9dhcpwxgvwuka6,expert,1,24,5.5,0,リバーサイド黒田,7.3,5,18,7.5,5.9,6,3,male,22
384,o9dhcpwxgvwuka6,expert,2,1,7.1,23,グリーンリッジ本郷,12.3,6,52,6.7,6.9,6,3,male,22
385,o9dhcpwxgvwuka6,expert,2,2,10.5,16,さくらヒルズレジデンス,16.1,2,22,11.2,11.1,6,3,male,22
386,o9dhcpwxgvwuka6,expert,2,3,12.5,2,プリンスハイムSOLEIL,21.3,5,19,13.9,14.5,6,3,male,22
387,o9dhcpwxgvwuka6,expert,2,4,9.5,19,センチュリーMINERVA,12.5,2,23,9.4,10.1,6,3,male,22
388,o9dhcpwxgvwuka6,expert,2,5,7.2,17,あじさいテラス,12.5,8,41,7.5,8.3,6,3,male,22
389,o9dhcpwxgvwuka6,expert,2,6,8.9,3,ふたばハイツ,18.4,4,46,9.8,8.5,6,3,male,22
390,o9dhcpwxgvwuka6,expert,2,7,9.8,15,ファイブスター後楽園,15.1,5,19,10.8,12.0,6,3,male,22
391,o9dhcpwxgvwuka6,expert,2,8,9.2,11,はまなすレイクビュー,10.9,5,35,7.5,6.8,6,3,male,22
392,o9dhcpwxgvwuka6,expert,2,9,13.9,14,カーサ・ヴィラJulio,18.5,2,4,14.3,13.8,6,3,male,22
393,o9dhcpwxgvwuka6,expert,2,10,8.5,18,ウッドランド中西,12.8,3,20,9.8,10.3,6,3,male,22
394,o9dhcpwxgvwuka6,expert,2,11,9.4,20,レインボーハウスRaffine,14.7,8,19,10.5,10.1,6,3,male,22
395,o9dhcpwxgvwuka6,expert,2,12,8.6,4,レジデンス三葉,13.0,5,33,8.5,7.5,6,3,male,22
396,o9dhcpwxgvwuka6,expert,3,1,9.6,7,ジャスミンガーデンズ東大前,13.3,7,11,10.7,9.1,6,3,male,22
397,o9dhcpwxgvwuka6,expert,3,2,7.8,6,コーポ内藤,23.3,1,60,10.8,11.7,6,3,male,22
398,o9dhcpwxgvwuka6,expert,3,3,8.7,5,ライフヴィラ白山,10.5,6,37,7.2,7.0,6,3,male,22
399,o9dhcpwxgvwuka6,expert,3,4,8.8,10,グランポルテWILL,13.0,4,48,7.3,11.1,6,3,male,22
400,o9dhcpwxgvwuka6,expert,3,5,9.2,20,レインボーハウスRaffine,14.7,8,19,10.5,10.1,6,3,male,22
401,o9dhcpwxgvwuka6,expert,3,6,10.1,21,サンセットプレイス犬飼,15.8,7,8,12.2,14.5,6,3,male,22
402,o9dhcpwxgvwuka6,expert,3,7,9.1,12,ソレイユ豊川,15.9,9,7,12.2,12.4,6,3,male,22
403,o9dhcpwxgvwuka6,expert,3,8,8.1,22,つばき荘,12.6,4,22,9.4,9.4,6,3,male,22
404,o9dhcpwxgvwuka6,expert,3,9,7.3,0,リバーサイド黒田,7.3,5,18,7.5,5.9,6,3,male,22
405,o9dhcpwxgvwuka6,expert,3,10,8.1,11,はまなすレイクビュー,10.9,5,35,7.5,6.8,6,3,male,22
406,o9dhcpwxgvwuka6,expert,3,11,9.8,19,センチュリーMINERVA,12.5,2,23,9.4,10.1,6,3,male,22
407,o9dhcpwxgvwuka6,expert,3,12,8.4,18,ウッドランド中西,12.8,3,20,9.8,10.3,6,3,male,22
408,o9dhcpwxgvwuka6,expert,3,13,8.2,23,グリーンリッジ本郷,12.3,6,52,6.7,6.9,6,3,male,22
409,o9dhcpwxgvwuka6,expert,3,14,10.2,9,ハートフル文京,15.8,4,24,10.7,8.7,6,3,male,22
410,o9dhcpwxgvwuka6,expert,3,15,13.3,14,カーサ・ヴィラJulio,18.5,2,4,14.3,13.8,6,3,male,22
411,o9dhcpwxgvwuka6,expert,3,16,10.0,16,さくらヒルズレジデンス,16.1,2,22,11.2,11.1,6,3,male,22
412,o9dhcpwxgvwuka6,expert,3,17,8.7,17,あじさいテラス,12.5,8,41,7.5,8.3,6,3,male,22
413,o9dhcpwxgvwuka6,expert,3,18,9.2,4,レジデンス三葉,13.0,5,33,8.5,7.5,6,3,male,22
414,o9dhcpwxgvwuka6,expert,3,19,8.0,1,ライフホームVIBRANT,8.7,2,44,6.2,6.0,6,3,male,22
415,o9dhcpwxgvwuka6,expert,3,20,9.8,2,プリンスハイムSOLEIL,21.3,5,19,13.9,14.5,6,3,male,22
416,o9dhcpwxgvwuka6,expert,3,21,9.3,8,アーバンネット三丁目,19.0,7,36,10.9,11.8,6,3,male,22
417,o9dhcpwxgvwuka6,expert,3,22,10.5,15,ファイブスター後楽園,15.1,5,19,10.8,12.0,6,3,male,22
418,o9dhcpwxgvwuka6,expert,3,23,10.2,13,ハイランド竹澤,13.4,5,13,10.6,9.6,6,3,male,22
419,o9dhcpwxgvwuka6,expert,3,24,9.9,3,ふたばハイツ,18.4,4,46,9.8,8.5,6,3,male,22
420,7l2jrlcnhb3t0px,expert,1,1,10.0,3,コーポ内藤,18.4,4,46,9.8,8.5,3,1,male,21
421,7l2jrlcnhb3t0px,expert,1,2,15.0,16,プリンスハイムSOLEIL,16.1,2,22,11.2,11.1,3,1,male,21
422,7l2jrlcnhb3t0px,expert,1,3,10.2,9,はまなすレイクビュー,15.8,4,24,10.7,8.7,3,1,male,21
423,7l2jrlcnhb3t0px,expert,1,4,8.0,4,ファイブスター後楽園,13.0,5,33,8.5,7.5,3,1,male,21
424,7l2jrlcnhb3t0px,expert,1,5,13.0,12,ライフホームVIBRANT,15.9,9,7,12.2,12.4,3,1,male,21
425,7l2jrlcnhb3t0px,expert,1,6,20.0,2,グリーンリッジ本郷,21.3,5,19,13.9,14.5,3,1,male,21
426,7l2jrlcnhb3t0px,expert,1,7,8.0,11,さくらヒルズレジデンス,10.9,5,35,7.5,6.8,3,1,male,21
427,7l2jrlcnhb3t0px,expert,1,8,8.3,5,アーバンネット三丁目,10.5,6,37,7.2,7.0,3,1,male,21
428,7l2jrlcnhb3t0px,expert,1,9,10.0,18,レジデンス三葉,12.8,3,20,9.8,10.3,3,1,male,21
429,7l2jrlcnhb3t0px,expert,1,10,7.5,17,ふたばハイツ,12.5,8,41,7.5,8.3,3,1,male,21
430,7l2jrlcnhb3t0px,expert,1,11,15.0,21,ハートフル文京,15.8,7,8,12.2,14.5,3,1,male,21
431,7l2jrlcnhb3t0px,expert,1,12,16.1,15,ジャスミンガーデンズ東大前,15.1,5,19,10.8,12.0,3,1,male,21
432,7l2jrlcnhb3t0px,expert,1,13,13.5,20,ライフヴィラ白山,14.7,8,19,10.5,10.1,3,1,male,21
433,7l2jrlcnhb3t0px,expert,1,14,7.0,1,ソレイユ豊川,8.7,2,44,6.2,6.0,3,1,male,21
434,7l2jrlcnhb3t0px,expert,1,15,10.0,13,ウッドランド中西,13.4,5,13,10.6,9.6,3,1,male,21
435,7l2jrlcnhb3t0px,expert,1,16,10.0,8,リバーサイド黒田,19.0,7,36,10.9,11.8,3,1,male,21
436,7l2jrlcnhb3t0px,expert,1,17,9.8,19,つばき荘,12.5,2,23,9.4,10.1,3,1,male,21
